nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
QUADRA 804 SUL ALAMEDA 5,1,77023010,PLANO DIRETOR SUL,PALMAS,TO,586
AVENIDA REPUBLICA DO LIBANO,2099,04501003,MOEMA,SAO PAULO,SP,588
RUA MIRTES ROCHA,354,60721140,VILA PERY,FORTALEZA,CE,590
TRAVESSA WE,35,67133180,CIDADE NOVA,ANANINDEUA,PA,592
RUA PROJETADA,SN,65800000,SETOR INDUSTRIAL,BALSAS,MA,594
AVENIDA JACOB LOPES CASTRO,100,36570000,NOVA ERA,VICOSA,MG,596
AVENIDA DANIEL DE LA TOUCHE,987,65074115,COHAMA,SAO LUIS,MA,598
QN 7 CONJUNTO 22,,71805722,RIACHO FUNDO 1,BRASILIA,DF,600
RUA MANOEL PRETO,32,84269180,JARDIM BANDEIRANTES,TELEMACO BORBA,PR,602
AVENIDA ITAQUERA,796,03526000,JARDIM MARINGA,SAO PAULO,SP,605
RUA JOAO GERALDO CLARO,166,17213403,JARDIM PADRE AUGUSTO SANI,JAU,SP,608
AVENIDA DANILO CORREA,SN,69860000,CIDADE ALTA,PAUINI,AM,610
RUA A,10,35022651,PORTO DAS CANOAS,GOVERNADOR VALADARES,MG,612
RUA LAGOA DOURADA,107,32628076,VIANOPOLIS,BETIM,MG,614
AVENIDA GOVERNADOR MUNIZ FALCAO,SN,56280000,CENTRO,ARARIPINA,PE,616
RUA ANTONIO ZANCO,79,06192130,KM 18,OSASCO,SP,619
RUA SETE DE ABRIL,118,01043000,REPUBLICA,SAO PAULO,SP,621
AVENIDA ELIEZER MOREIRA,253,65950000,TAMARINDO,BARRA DO CORDA,MA,622
RUA DONHA PINTO CARVALHO,SN,77318000,CENTRO,NOVO JARDIM,TO,624
AVENIDA JERUZALEM,47,29145620,VILA PALESTINA,CARIACICA,ES,626
RUA MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,926,14806202,JARDIM IMPERADOR,ARARAQUARA,SP,628
RUA DOUTOR TEIXEIRA DE CARVALHO,444,79670000,CENTRO,BRASILANDIA,MS,630
RUA DOUTOR DIOGO DE FARIA,1155,04037004,VILA CLEMENTINO,SAO PAULO,SP,632
RUA VIRGILIO FURLAN,1277,13424080,PAULICEIA,PIRACICABA,SP,634
RUA ROMA,643,38405076,TIBERY,UBERLANDIA,MG,636
RUA 21 DE ABRIL,374,98400000,CENTRO,FREDERICO WESTPHALEN,RS,638
RUA RIACHUELO,1010,97670000,CENTRO,SAO BORJA,RS,640
