cnae_2digitos,cd_cnpj,nu_ordem,cd_ramo_atividade,de_ramo_atividade,ramo_atividade,divisoes
10,14078544000180,0,1031700,FABRICACAO DE ALIMENTOS E PRATOS PRONTOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02088916000170,1,1099699,COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11749251000190,1,1093702,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,33128620000160,1,1091102,COMERCIO VAREJISTA DE CARNES  ACOUGUES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02088916000170,0,1096100,COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11749251000190,0,1093701,"FABRICACAO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15131820000190,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11035887000170,0,1092900,FABRICACAO DE BISCOITOS E BOLACHAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13121883000130,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13955036000170,0,1033302,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15131820000190,1,1093701,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,33128620000160,0,1013901,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14605684000160,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14078544000180,2,1096100,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,16481403000130,0,1063500,"COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,75892067001230,0,1069400,MOAGEM E FABRICACAO DE PRODUTOS DE ORIGEM VEGETAL NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02811573000120,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,00141758000140,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13621474000100,1,1093701,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02112772000140,0,1033301,COMERCIO ATACADISTA DE EMBALAGENS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,04633743000150,0,1053800,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,06339575000110,1,1020102,"PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13498479000180,0,1091102,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,06339575000110,0,1020101,"FABRICACAO DE CONSERVAS DE PEIXES, CRUSTACEOS E MOLUSCOS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13679081000140,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10051464000180,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,00777622000120,0,1053800,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14769413000140,0,1093701,COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14577677000100,0,1093701,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,05204871000140,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13974085000150,0,1096100,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,97538285000150,1,1093701,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
